policy_id,customer_id,customer_name,cnic,city,phone,policy_type,insurance_company,coverage_amount,premium,start_date,end_date,status
POL-6D2C4E17,CUST-87EC1F55,Barraq Jaabir,68895-6439316-8,Chaman,+923003351609,Renters,EFU Life,240372,1323,2024-12-17,2025-06-06,Pending
POL-CA12E0F9,CUST-F8864447,Osama Aazim,16906-5284817-1,Muzaffargarh,+923074283029,Key Person Insurance,Jubilee Insurance,567615,8438,2023-09-19,2025-11-06,Active
POL-2DE2716D,CUST-537E97CF,Zayyir Zaahir,82379-1212628-5,Tank,+923414095860,Marine Cargo,U Microfinance Bank,960055,1861,2024-06-19,2025-07-09,Expired
POL-C24AE982,CUST-7D1C05DD,Nafasat Aadil,32114-8849311-9,Karak,+923120544850,Pet Insurance,TPL Insurance,784888,1921,2024-03-13,2026-11-16,Pending
POL-70677057,CUST-4BBCEB79,Ubay Zaakir,62373-1123138-2,Tharparkar,+923103635707,Workers Compensation,TPL Insurance,975207,2521,2025-05-04,2025-08-29,Expired
POL-6BBF6C25,CUST-788ADBFF,Yaman Jahdari,56436-6782702-5,Khuzdar,+923263268532,Auto,Adamjee Insurance,955330,5212,2024-05-08,2027-03-12,Active
POL-736EC81E,CUST-F4BF9037,Ghawth Owais,53832-4033575-8,Kambar,+923353838974,Kidnap & Ransom,Asim Financial Assurance,543530,2974,2024-10-01,2025-12-11,Expired
POL-767BF924,CUST-8836BA3B,Jaffer Tabassum,87195-7731913-4,Multan,+923371894713,Travel Medical,Jubilee Insurance,766114,1445,2024-06-13,2026-06-02,Active
POL-C1D39A09,CUST-BB5F09CC,Rafeek Jabir,33204-2872569-3,Jamshoro,+923216885537,Life,AhsanTechCoding,810210,9090,2023-08-16,2025-08-21,Active
POL-9F48806F,CUST-A1389DA3,Aamirah Sabir,19889-3922928-3,Hala,+923045548220,Spoilage Insurance,AhsanTechCoding,533189,7890,2025-04-11,2025-10-05,Expired
POL-1EFF6C8A,CUST-40C5DD26,Aayan Rabbani,14489-3891600-9,Matiari,+923458177646,Gap Insurance,TPL Insurance,415869,7888,2025-05-26,2027-05-04,Active
POL-D8BEA0EB,CUST-4F03A5B8,Jalil Maheen,83948-5452226-7,Hafizabad,+923311852950,Dental Insurance,EFU Life,842026,7393,2024-07-21,2025-07-23,Active
POL-86EE34AD,CUST-20700BD6,Ibn Umaarah,85457-2819744-7,Mailsi,+923395955441,Trade Credit Insurance,AhsanTechCoding,671220,6494,2024-09-07,2027-02-23,Expired
POL-237F8A04,CUST-69D51024,Sadeed Aarif,60757-9538559-2,Mardan,+923405687459,Motorcycle,Jubilee Insurance,437668,8863,2023-05-29,2026-10-30,Active
POL-F2EC9688,CUST-B93D9035,Awj Aalam,80729-7436368-6,Sheikhupura,+923269302419,Kidnap & Ransom,U Microfinance Bank,555568,4946,2023-07-13,2026-02-27,Active
POL-124BC963,CUST-34E709D9,Umaarah Tawkeel,18586-2836059-2,Ghotki,+923217141379,Flood Insurance,U Microfinance Bank,618578,8384,2024-07-13,2026-08-10,Active
POL-B192D9E8,CUST-A004C600,Ghazi Bilaal,56157-7872366-5,Shahdadkot,+923077444174,Mortgage Insurance,EFU Life,721908,4338,2025-04-06,2025-07-28,Pending
POL-6AB49416,CUST-5D9BF42E,Aaban Aaaqil,99302-2448391-9,Tando Allahyar,+923479295339,Vision Insurance,Adamjee Insurance,783464,9210,2025-01-23,2027-02-01,Expired
POL-6DE3BA51,CUST-B0ED667F,Tahseen Rafi,54113-6566185-9,Dera Ismail Khan,+923261081811,Critical Illness,AhsanTechCoding,441672,8713,2024-05-14,2026-05-19,Active
POL-10BB7FCD,CUST-E7A96D24,Dakhil Ubadah,19808-3697652-5,Kambar,+923074732979,Aviation Insurance,Jubilee Insurance,766920,9266,2024-08-06,2026-02-28,Expired
POL-C2420278,CUST-22ED08F3,Saaiq Jaabir,98772-4122588-3,Kamalia,+923214320870,Auto,TPL Insurance,866829,7948,2024-05-13,2027-03-25,Pending
POL-7800A4D2,CUST-B4E146F5,Taaj Kamran,56267-2321042-1,Chakdara,+923210153118,Mortgage Insurance,Jubilee Insurance,524218,3847,2024-10-31,2026-08-29,Expired
POL-E50504D1,CUST-BA07C356,Ubadah Saaqib,46721-2993004-4,Gwadar,+923094397456,Long Term Care,Jubilee Insurance,725032,9643,2025-05-06,2027-01-23,Pending
POL-2D9B28F1,CUST-82A32AFB,Zarar Awmar,44058-8276114-4,Khuzdar,+923077191540,Health,EFU Life,749121,4353,2024-07-04,2025-09-12,Pending
POL-CF769D02,CUST-DBF07EDF,Qays Zaakir,57512-8789379-1,Khuzdar,+923034279960,Key Person Insurance,EFU Life,523392,3168,2025-02-26,2025-08-30,Active
POL-B726D4C4,CUST-3417BC95,Kabeer Zaahid,14795-6936410-4,Okara,+923104517178,Income Protection,Adamjee Insurance,541988,8347,2024-02-17,2026-10-05,Expired
POL-FD1886B5,CUST-D5AD2375,Kazim Jaabir,58273-8803123-1,Jaranwala,+923097072666,Commercial Property,Asim Financial Assurance,499332,1002,2024-11-05,2026-04-20,Pending
POL-24855D86,CUST-5B4978F9,Sair Saafir,42485-3040889-5,Jamshoro,+923403142344,Boat Insurance,Asim Financial Assurance,569110,4371,2024-09-15,2027-01-08,Expired
POL-96916531,CUST-64F9630B,Yaqeen Owais,33928-1403273-1,Mastung,+923167057614,Spoilage Insurance,Jubilee Insurance,572350,8893,2024-06-26,2026-08-06,Pending
POL-A764C3A7,CUST-68BA2CC5,Baber Man,32227-4398898-3,Jhang,+923163932387,Private Medical Insurance,AhsanTechCoding,218747,8321,2024-01-25,2025-11-18,Pending
POL-739E5DB5,CUST-6D8208C9,Najeeb Zahur,68841-6949314-5,Matiari,+923426442544,Home,Asim Financial Assurance,316702,9122,2023-06-25,2025-10-24,Pending
POL-793C265B,CUST-22D08FA3,Qawee Ghasaan,65481-5229829-6,Kamalpur,+923083742592,Travel Medical,TPL Insurance,818099,4644,2023-10-04,2026-09-16,Pending
POL-8D28A0BD,CUST-04B4302B,Ilan Wafeeq,20717-6311662-7,Jacobabad,+923333786899,Personal Accident,U Microfinance Bank,296254,6225,2023-09-21,2026-11-24,Expired
POL-D6B48DD8,CUST-35051B44,Ghanee Badr Udeen,96335-3472473-3,Sujawal,+923348726192,Long Term Care,Asim Financial Assurance,670661,8086,2023-08-09,2027-03-23,Pending
POL-4725BB94,CUST-1DCFC1F7,Raheem Ehsaas,38733-5185619-1,Tando Muhammad Khan,+923311143326,Life,AhsanTechCoding,539959,8576,2025-01-18,2026-03-19,Expired
POL-B8146B5C,CUST-90D5C083,Zahur Ubay,25146-2698101-2,Tando Muhammad Khan,+923376430045,Cyber Liability,Jubilee Insurance,182310,2481,2024-02-08,2026-01-17,Active
POL-C62215EB,CUST-B71B7373,Ejlaal Tahaw-wur,66875-2356141-1,Sialkot,+923307138809,Critical Illness,EFU Life,213294,7118,2024-05-15,2025-12-21,Pending
POL-DD702B69,CUST-0240A847,Zackariya Zaakir,93372-8144558-1,Tank,+923406999790,Home,AhsanTechCoding,266041,6430,2024-10-17,2025-08-31,Expired
POL-249FB2C8,CUST-03146F83,Bashaar Saal,69166-2473538-9,Sujawal,+923321101806,Credit Life,Jubilee Insurance,445202,3055,2024-02-28,2025-11-06,Active
POL-7FB5E193,CUST-D037F83A,Ulfat Ibrahim,62951-6882257-1,Jacobabad,+923467493737,Pet Insurance,TPL Insurance,943317,2085,2023-11-07,2025-06-27,Pending
POL-E92FC339,CUST-03C88694,Qay-yoom Fidvi,38603-3077794-6,Haroonabad,+923230950306,Private Medical Insurance,Jubilee Insurance,758188,9403,2024-06-10,2026-01-01,Active
POL-09CD18FD,CUST-E47A78DA,Qareeb Raashid,48556-7735853-8,Okara,+923179533445,Title Insurance,U Microfinance Bank,541093,6747,2023-06-11,2027-02-04,Expired
POL-280C806C,CUST-A45B2411,Ubay Badr Udeen,90318-3506092-2,Kot Radha Kishan,+923056376275,Commercial Property,AhsanTechCoding,476943,4199,2024-09-26,2025-09-12,Pending
POL-B0643445,CUST-2AA90042,Mahad Qabeel,46601-2600776-6,Larkana,+923105557457,Key Person Insurance,Asim Financial Assurance,843881,8142,2024-08-04,2026-03-22,Expired
POL-C7A2BC42,CUST-103B0CF4,Kaamil Jamaal,40633-1080330-3,Bannu,+923399076233,Workers Compensation,EFU Life,330606,2929,2023-08-18,2027-02-18,Active
POL-8516A8A8,CUST-A957DD5F,Saalih Raakin,13211-7276316-9,Sibi,+923445650308,Group Health Insurance,AhsanTechCoding,149756,8670,2023-06-05,2027-01-25,Active
POL-080294BA,CUST-E3A513E1,Harnail Najeeb,65150-7362376-4,Chishtian,+923467596876,Title Insurance,Jubilee Insurance,703079,8912,2024-07-07,2026-12-08,Active
POL-283E9C9F,CUST-3B7BB812,Mahad Sabeeh,84020-4349065-5,Dadu,+923402808804,Boiler & Machinery,Adamjee Insurance,220850,4867,2023-09-28,2026-08-28,Pending
POL-22C37470,CUST-9F936E58,Changaz Kaleem,67634-1985112-2,Gujrat,+923219826109,Critical Illness,AhsanTechCoding,679375,5707,2025-03-18,2025-07-20,Expired
POL-891AC71A,CUST-AAF2612F,Raees Mad,24782-7139439-1,Kala Bagh,+923160606486,Critical Illness,EFU Life,365367,6842,2024-03-21,2026-03-31,Expired
POL-39B7E6AB,CUST-03BC91C4,Luqman Labeeb,10772-8911470-5,Dargai,+923113355446,Crop Insurance,Asim Financial Assurance,799275,9993,2023-10-09,2025-08-27,Expired
POL-23BF4EB6,CUST-5D45EB08,Saajid Urrab,36848-4484084-4,Kala Bagh,+923339331320,Crop Insurance,AhsanTechCoding,260764,2326,2025-02-21,2026-06-02,Pending
POL-1AF4300B,CUST-DD0B53EA,Rahat Zackariya,70079-4873063-7,Gwadar,+923132076602,Key Person Insurance,EFU Life,989033,1297,2024-03-19,2025-07-10,Expired
POL-93FA124A,CUST-B8D3F42B,Cheragh Tahaw-wur,34799-7310622-3,Muzaffargarh,+923077952959,Workers Compensation,EFU Life,124919,2926,2024-08-03,2026-03-04,Expired
POL-320D18B6,CUST-F6EDCF43,Nafesa Ubadah,64367-4248710-6,Quetta,+923463481829,Equipment Breakdown,Jubilee Insurance,910723,9209,2024-02-22,2025-12-05,Pending
POL-DF51CB9E,CUST-6861D425,Aaban Darain,29362-3283798-3,Sahiwal,+923185503809,Product Liability,Jubilee Insurance,989516,2618,2024-12-16,2027-03-02,Active
POL-58D5F2DE,CUST-4AC53A65,Nadhir Taj,56886-6405463-4,Nowshera,+923117346845,Life,Adamjee Insurance,220587,7464,2025-03-01,2026-12-10,Expired
POL-36221554,CUST-6895AC53,Hazeem Sabah,76480-8935549-7,Chitral,+923196882147,Identity Theft Insurance,Adamjee Insurance,951390,8528,2024-03-16,2026-09-19,Pending
POL-B66561FC,CUST-37845D6B,Ghayoor Zafar,68026-3277166-3,Gulistan,+923445646306,Group Health Insurance,Asim Financial Assurance,361445,1383,2024-02-24,2026-10-13,Active
POL-6426AB9E,CUST-58FA2F35,Zahur Naail,95540-4953761-8,Hyderabad,+923489928748,Hospital Cash,Asim Financial Assurance,108208,9916,2024-06-21,2027-03-04,Active
POL-290853A8,CUST-61ED16B1,Saabir Rafi,99458-6335513-1,Rajanpur,+923183014244,Title Insurance,EFU Life,961168,2473,2023-11-26,2027-05-22,Active
POL-6DEF812C,CUST-A3E79BCF,Babar Awani,20868-2302477-5,Sibi,+923301321655,Home,AhsanTechCoding,887741,1915,2025-01-29,2026-12-09,Pending
POL-E8B8D29D,CUST-C1D4BD92,Yazeed Ubaydullah,52335-8872788-5,Khuzdar,+923358778036,Directors & Officers Liability,U Microfinance Bank,802414,9706,2023-11-19,2026-08-29,Active
POL-D86A939B,CUST-D92C5FDE,Yadid Batool,40365-3966026-9,Gilgit,+923033049700,Medical Malpractice,EFU Life,547320,5445,2024-11-30,2026-03-07,Pending
POL-6636D83F,CUST-74667171,Ubaydullah Aazim,37028-7259896-9,Shikarpur,+923319705601,Marine Cargo,TPL Insurance,209607,1543,2024-04-14,2025-08-15,Expired
POL-441A7FA7,CUST-B04D7D51,Qatadah Jahdari,91811-8551276-4,Hyderabad,+923046964483,Terrorism Insurance,Asim Financial Assurance,325455,8376,2024-10-07,2026-10-11,Active
POL-9C17DA25,CUST-D0C2E44B,Sadeed Kaleem,18171-6426877-3,Dera Allah Yar,+923445183632,Travel Medical,Asim Financial Assurance,746178,2354,2024-12-06,2026-11-04,Pending
POL-5816A8FE,CUST-708CEB24,Nabil Naeem,99652-2561514-7,Sahiwal,+923422009182,Gap Insurance,Jubilee Insurance,979878,1328,2025-01-25,2027-02-20,Pending
POL-37AE04C6,CUST-7DB9E181,Gulab Omair,64431-4663649-7,Chitral,+923030099107,Terrorism Insurance,EFU Life,454318,1137,2024-01-23,2027-04-11,Active
POL-444F2ACB,CUST-D7614565,Maher Omar,15456-4213871-1,Nowshera,+923024736516,Burglary,Asim Financial Assurance,682511,1321,2024-09-20,2027-05-08,Active
POL-F72B9A59,CUST-B0CB5F50,Ayamin Raed,39385-9290539-3,Hyderabad,+923258465872,Trade Credit Insurance,TPL Insurance,678072,6368,2023-07-20,2025-08-29,Active
POL-E296CAC8,CUST-53C1B0A4,Zahir Tahmaseb,60689-4350744-6,Tando Allahyar,+923386871239,Gap Insurance,Asim Financial Assurance,846590,2417,2024-07-14,2026-09-04,Expired
POL-3DEE2301,CUST-205B984E,Ubaydullah Zackariya,36776-8760748-3,Tando Adam,+923474308685,Flood Insurance,Asim Financial Assurance,440592,3566,2024-08-29,2026-07-26,Expired
